"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"LCD","HDR1X8","339.979mm","238.252mm","339.979mm","229.362mm","339.979mm","229.362mm","T","90.00","Header 8"
"U44","SO-8N","377.146mm","166.99mm","374.396mm","168.91mm","374.396mm","168.91mm","T","0.00","SP3485"
"R102","0603","382.289mm","163.227mm","382.397mm","161.671mm","382.289mm","164.027mm","T","180.00","NULL"
"R101","0603","382.289mm","170.783mm","382.181mm","172.339mm","382.289mm","169.983mm","T","360.00","NULL"
"R100","0603","382.289mm","167.037mm","382.397mm","165.481mm","382.289mm","167.837mm","T","180.00","120"
"J1","DSUB1.385-2H9","388.264mm","165.481mm","397.764mm","165.481mm","386.844mm","171.021mm","T","270.00","USART"
"C29","0603","379.063mm","171.596mm","380.619mm","171.704mm","378.263mm","171.596mm","T","270.00","100nF"
"R91","0603","230.918mm","149.333mm","229.362mm","149.225mm","231.718mm","149.333mm","T","90.00","Res1"
"R90","0603","230.918mm","147.174mm","229.362mm","147.066mm","231.718mm","147.174mm","T","90.00","Res1"
"C56","0805","312.293mm","293.37mm","312.293mm","294.513mm","312.293mm","292.227mm","T","270.00","1uF"
"C55","6032_POL","308.6956mm","292.0424mm","308.737mm","292.1mm","308.6956mm","289.5624mm","T","270.00","10uF"
"C54","cap_pol_8*10.2","300.4893mm","294.6388mm","300.482mm","294.64mm","297.0393mm","294.6388mm","T","0.00","47uF,50V"
"C53","cap_pol_8*10.2","268.8663mm","294.6388mm","268.859mm","294.64mm","265.4163mm","294.6388mm","T","0.00","47uF"
"C52","cap_pol_8*10.2","225.4323mm","294.6388mm","225.425mm","294.64mm","221.9823mm","294.6388mm","T","0.00","47uF"
"Q13","SOT-23","252.1021mm","231.9085mm","250.063mm","229.743mm","253.1181mm","230.956mm","T","90.00","NUD3112"
"K1","Relay_OMRON5V","242.824mm","227.33mm","247.904mm","229.87mm","247.904mm","229.87mm","T","270.00","Relay"
"Q12","SOT-23","252.1021mm","160.7885mm","250.063mm","158.623mm","253.1181mm","159.836mm","T","90.00","NUD3112"
"Q11","SOT-23","252.1021mm","169.9325mm","250.063mm","167.767mm","253.1181mm","168.98mm","T","90.00","NUD3112"
"Q10","SOT-23","252.1021mm","178.6955mm","250.063mm","176.53mm","253.1181mm","177.743mm","T","90.00","NUD3112"
"Q9","SOT-23","252.1021mm","187.4585mm","250.063mm","185.293mm","253.1181mm","186.506mm","T","90.00","NUD3112"
"R50","0805","233.426mm","236.347mm","234.569mm","236.347mm","232.283mm","236.347mm","T","180.00","Res1"
"R49","0805","233.426mm","165.227mm","234.569mm","165.227mm","232.283mm","165.227mm","T","180.00","Res1"
"R48","0805","233.426mm","174.371mm","234.569mm","174.371mm","232.283mm","174.371mm","T","180.00","Res1"
"R47","0805","233.426mm","183.007mm","234.569mm","183.007mm","232.283mm","183.007mm","T","180.00","Res1"
"R46","0805","233.426mm","191.897mm","234.569mm","191.897mm","232.283mm","191.897mm","T","180.00","1M"
"K13","Relay_OMRON5V","242.824mm","236.347mm","247.904mm","238.887mm","247.904mm","238.887mm","T","270.00","Relay"
"K12","Relay_OMRON5V","242.824mm","165.354mm","247.904mm","167.894mm","247.904mm","167.894mm","T","270.00","Relay"
"K11","Relay_OMRON5V","242.824mm","174.371mm","247.904mm","176.911mm","247.904mm","176.911mm","T","270.00","Relay"
